timestamp, name, memory.total [MiB], memory.used [MiB], memory.free [MiB], utilization.gpu [%], utilization.memory [%]
2026/04/28 23:47:34.455, NVIDIA L4, 23034 MiB, 20346 MiB, 2218 MiB, 0 %, 0 %
2026/04/28 23:47:35.459, NVIDIA L4, 23034 MiB, 20396 MiB, 2168 MiB, 100 %, 67 %
2026/04/28 23:47:36.460, NVIDIA L4, 23034 MiB, 20396 MiB, 2168 MiB, 100 %, 76 %
2026/04/28 23:47:37.461, NVIDIA L4, 23034 MiB, 20396 MiB, 2168 MiB, 100 %, 78 %
2026/04/28 23:47:38.463, NVIDIA L4, 23034 MiB, 20396 MiB, 2168 MiB, 100 %, 75 %
2026/04/28 23:47:39.464, NVIDIA L4, 23034 MiB, 20396 MiB, 2168 MiB, 100 %, 77 %
2026/04/28 23:47:40.465, NVIDIA L4, 23034 MiB, 20396 MiB, 2168 MiB, 100 %, 70 %
2026/04/28 23:47:41.467, NVIDIA L4, 23034 MiB, 20396 MiB, 2168 MiB, 100 %, 66 %
2026/04/28 23:47:42.467, NVIDIA L4, 23034 MiB, 20396 MiB, 2168 MiB, 100 %, 67 %
2026/04/28 23:47:43.468, NVIDIA L4, 23034 MiB, 20396 MiB, 2168 MiB, 100 %, 74 %
2026/04/28 23:47:44.469, NVIDIA L4, 23034 MiB, 20396 MiB, 2168 MiB, 100 %, 77 %
2026/04/28 23:47:45.471, NVIDIA L4, 23034 MiB, 20396 MiB, 2168 MiB, 100 %, 68 %
2026/04/28 23:47:46.472, NVIDIA L4, 23034 MiB, 20396 MiB, 2168 MiB, 100 %, 80 %
2026/04/28 23:47:47.473, NVIDIA L4, 23034 MiB, 20396 MiB, 2168 MiB, 100 %, 67 %
2026/04/28 23:47:48.475, NVIDIA L4, 23034 MiB, 20396 MiB, 2168 MiB, 100 %, 64 %
2026/04/28 23:47:49.477, NVIDIA L4, 23034 MiB, 20396 MiB, 2168 MiB, 100 %, 64 %
2026/04/28 23:47:50.478, NVIDIA L4, 23034 MiB, 20396 MiB, 2168 MiB, 100 %, 66 %
2026/04/28 23:47:51.479, NVIDIA L4, 23034 MiB, 20396 MiB, 2168 MiB, 100 %, 62 %
2026/04/28 23:47:52.480, NVIDIA L4, 23034 MiB, 20396 MiB, 2168 MiB, 100 %, 79 %
2026/04/28 23:47:53.481, NVIDIA L4, 23034 MiB, 20396 MiB, 2168 MiB, 100 %, 76 %
2026/04/28 23:47:54.483, NVIDIA L4, 23034 MiB, 20396 MiB, 2168 MiB, 100 %, 69 %
2026/04/28 23:47:55.484, NVIDIA L4, 23034 MiB, 20396 MiB, 2168 MiB, 100 %, 65 %
2026/04/28 23:47:56.485, NVIDIA L4, 23034 MiB, 20396 MiB, 2168 MiB, 100 %, 67 %
2026/04/28 23:47:57.487, NVIDIA L4, 23034 MiB, 20396 MiB, 2168 MiB, 100 %, 77 %
2026/04/28 23:47:58.487, NVIDIA L4, 23034 MiB, 20396 MiB, 2168 MiB, 100 %, 65 %
2026/04/28 23:47:59.488, NVIDIA L4, 23034 MiB, 20396 MiB, 2168 MiB, 100 %, 67 %
2026/04/28 23:48:00.490, NVIDIA L4, 23034 MiB, 20396 MiB, 2168 MiB, 100 %, 66 %
2026/04/28 23:48:01.491, NVIDIA L4, 23034 MiB, 20396 MiB, 2168 MiB, 100 %, 69 %
2026/04/28 23:48:02.492, NVIDIA L4, 23034 MiB, 20396 MiB, 2168 MiB, 100 %, 64 %
2026/04/28 23:48:03.494, NVIDIA L4, 23034 MiB, 20396 MiB, 2168 MiB, 100 %, 67 %
2026/04/28 23:48:04.495, NVIDIA L4, 23034 MiB, 20396 MiB, 2168 MiB, 100 %, 72 %
2026/04/28 23:48:05.496, NVIDIA L4, 23034 MiB, 20396 MiB, 2168 MiB, 100 %, 78 %
2026/04/28 23:48:06.498, NVIDIA L4, 23034 MiB, 20396 MiB, 2168 MiB, 100 %, 64 %
2026/04/28 23:48:07.498, NVIDIA L4, 23034 MiB, 20396 MiB, 2168 MiB, 100 %, 67 %
2026/04/28 23:48:08.499, NVIDIA L4, 23034 MiB, 20396 MiB, 2168 MiB, 100 %, 77 %
2026/04/28 23:48:09.499, NVIDIA L4, 23034 MiB, 20396 MiB, 2168 MiB, 100 %, 73 %
2026/04/28 23:48:10.500, NVIDIA L4, 23034 MiB, 20396 MiB, 2168 MiB, 100 %, 71 %
2026/04/28 23:48:11.501, NVIDIA L4, 23034 MiB, 20396 MiB, 2168 MiB, 100 %, 66 %
2026/04/28 23:48:12.502, NVIDIA L4, 23034 MiB, 20396 MiB, 2168 MiB, 100 %, 71 %
2026/04/28 23:48:13.504, NVIDIA L4, 23034 MiB, 20396 MiB, 2168 MiB, 100 %, 84 %
2026/04/28 23:48:14.505, NVIDIA L4, 23034 MiB, 20396 MiB, 2168 MiB, 100 %, 69 %
2026/04/28 23:48:15.506, NVIDIA L4, 23034 MiB, 20396 MiB, 2168 MiB, 100 %, 84 %
2026/04/28 23:48:16.508, NVIDIA L4, 23034 MiB, 20396 MiB, 2168 MiB, 100 %, 67 %
2026/04/28 23:48:17.509, NVIDIA L4, 23034 MiB, 20396 MiB, 2168 MiB, 100 %, 77 %
2026/04/28 23:48:18.510, NVIDIA L4, 23034 MiB, 20396 MiB, 2168 MiB, 100 %, 77 %
2026/04/28 23:48:19.512, NVIDIA L4, 23034 MiB, 20396 MiB, 2168 MiB, 100 %, 65 %
2026/04/28 23:48:20.513, NVIDIA L4, 23034 MiB, 20396 MiB, 2168 MiB, 100 %, 92 %
