timestamp, name, memory.total [MiB], memory.used [MiB], memory.free [MiB], utilization.gpu [%], utilization.memory [%]
2026/04/28 23:43:35.962, NVIDIA L4, 23034 MiB, 20200 MiB, 2364 MiB, 0 %, 0 %
2026/04/28 23:43:36.966, NVIDIA L4, 23034 MiB, 20224 MiB, 2340 MiB, 95 %, 89 %
2026/04/28 23:43:37.967, NVIDIA L4, 23034 MiB, 20224 MiB, 2340 MiB, 95 %, 91 %
2026/04/28 23:43:38.967, NVIDIA L4, 23034 MiB, 20224 MiB, 2340 MiB, 100 %, 100 %
2026/04/28 23:43:39.969, NVIDIA L4, 23034 MiB, 20224 MiB, 2340 MiB, 100 %, 100 %
2026/04/28 23:43:40.970, NVIDIA L4, 23034 MiB, 20224 MiB, 2340 MiB, 100 %, 100 %
2026/04/28 23:43:41.971, NVIDIA L4, 23034 MiB, 20224 MiB, 2340 MiB, 98 %, 89 %
2026/04/28 23:43:42.972, NVIDIA L4, 23034 MiB, 20226 MiB, 2338 MiB, 98 %, 89 %
2026/04/28 23:43:43.974, NVIDIA L4, 23034 MiB, 20226 MiB, 2338 MiB, 95 %, 92 %
2026/04/28 23:43:44.974, NVIDIA L4, 23034 MiB, 20226 MiB, 2338 MiB, 90 %, 89 %
2026/04/28 23:43:45.975, NVIDIA L4, 23034 MiB, 20226 MiB, 2338 MiB, 89 %, 95 %
2026/04/28 23:43:46.977, NVIDIA L4, 23034 MiB, 20226 MiB, 2338 MiB, 89 %, 86 %
2026/04/28 23:43:47.978, NVIDIA L4, 23034 MiB, 20226 MiB, 2338 MiB, 98 %, 87 %
2026/04/28 23:43:48.979, NVIDIA L4, 23034 MiB, 20226 MiB, 2338 MiB, 89 %, 97 %
2026/04/28 23:43:49.981, NVIDIA L4, 23034 MiB, 20226 MiB, 2338 MiB, 98 %, 96 %
2026/04/28 23:43:50.982, NVIDIA L4, 23034 MiB, 20226 MiB, 2338 MiB, 97 %, 100 %
2026/04/28 23:43:51.983, NVIDIA L4, 23034 MiB, 20226 MiB, 2338 MiB, 95 %, 84 %
2026/04/28 23:43:52.985, NVIDIA L4, 23034 MiB, 20226 MiB, 2338 MiB, 98 %, 85 %
2026/04/28 23:43:53.986, NVIDIA L4, 23034 MiB, 20226 MiB, 2338 MiB, 98 %, 89 %
2026/04/28 23:43:54.987, NVIDIA L4, 23034 MiB, 20226 MiB, 2338 MiB, 100 %, 100 %
2026/04/28 23:43:55.988, NVIDIA L4, 23034 MiB, 20226 MiB, 2338 MiB, 98 %, 90 %
2026/04/28 23:43:56.990, NVIDIA L4, 23034 MiB, 20226 MiB, 2338 MiB, 89 %, 95 %
2026/04/28 23:43:57.991, NVIDIA L4, 23034 MiB, 20226 MiB, 2338 MiB, 89 %, 88 %
2026/04/28 23:43:58.992, NVIDIA L4, 23034 MiB, 20226 MiB, 2338 MiB, 98 %, 88 %
2026/04/28 23:43:59.994, NVIDIA L4, 23034 MiB, 20226 MiB, 2338 MiB, 98 %, 89 %
2026/04/28 23:44:00.995, NVIDIA L4, 23034 MiB, 20226 MiB, 2338 MiB, 98 %, 91 %
2026/04/28 23:44:01.995, NVIDIA L4, 23034 MiB, 20226 MiB, 2338 MiB, 97 %, 99 %
2026/04/28 23:44:02.997, NVIDIA L4, 23034 MiB, 20226 MiB, 2338 MiB, 89 %, 96 %
2026/04/28 23:44:03.998, NVIDIA L4, 23034 MiB, 20226 MiB, 2338 MiB, 98 %, 93 %
2026/04/28 23:44:04.999, NVIDIA L4, 23034 MiB, 20226 MiB, 2338 MiB, 99 %, 100 %
2026/04/28 23:44:06.001, NVIDIA L4, 23034 MiB, 20226 MiB, 2338 MiB, 98 %, 91 %
2026/04/28 23:44:07.002, NVIDIA L4, 23034 MiB, 20226 MiB, 2338 MiB, 98 %, 100 %
2026/04/28 23:44:08.003, NVIDIA L4, 23034 MiB, 20226 MiB, 2338 MiB, 100 %, 98 %
2026/04/28 23:44:09.005, NVIDIA L4, 23034 MiB, 20226 MiB, 2338 MiB, 89 %, 89 %
2026/04/28 23:44:10.006, NVIDIA L4, 23034 MiB, 20226 MiB, 2338 MiB, 95 %, 91 %
2026/04/28 23:44:11.007, NVIDIA L4, 23034 MiB, 20226 MiB, 2338 MiB, 98 %, 100 %
2026/04/28 23:44:12.009, NVIDIA L4, 23034 MiB, 20226 MiB, 2338 MiB, 100 %, 100 %
2026/04/28 23:44:13.010, NVIDIA L4, 23034 MiB, 20226 MiB, 2338 MiB, 98 %, 87 %
2026/04/28 23:44:14.011, NVIDIA L4, 23034 MiB, 20226 MiB, 2338 MiB, 95 %, 90 %
2026/04/28 23:44:15.012, NVIDIA L4, 23034 MiB, 20226 MiB, 2338 MiB, 98 %, 100 %
2026/04/28 23:44:16.013, NVIDIA L4, 23034 MiB, 20226 MiB, 2338 MiB, 96 %, 85 %
2026/04/28 23:44:17.014, NVIDIA L4, 23034 MiB, 20226 MiB, 2338 MiB, 98 %, 92 %
2026/04/28 23:44:18.015, NVIDIA L4, 23034 MiB, 20226 MiB, 2338 MiB, 98 %, 89 %
2026/04/28 23:44:19.016, NVIDIA L4, 23034 MiB, 20226 MiB, 2338 MiB, 89 %, 98 %
2026/04/28 23:44:20.017, NVIDIA L4, 23034 MiB, 20226 MiB, 2338 MiB, 89 %, 89 %
