timestamp, name, memory.total [MiB], memory.used [MiB], memory.free [MiB], utilization.gpu [%], utilization.memory [%]
2026/04/28 19:25:35.317, NVIDIA L4, 23034 MiB, 20226 MiB, 2338 MiB, 15 %, 17 %
2026/04/28 19:25:36.320, NVIDIA L4, 23034 MiB, 20226 MiB, 2338 MiB, 100 %, 100 %
2026/04/28 19:25:37.322, NVIDIA L4, 23034 MiB, 20226 MiB, 2338 MiB, 100 %, 100 %
2026/04/28 19:25:38.324, NVIDIA L4, 23034 MiB, 20226 MiB, 2338 MiB, 100 %, 100 %
2026/04/28 19:25:39.325, NVIDIA L4, 23034 MiB, 20226 MiB, 2338 MiB, 100 %, 100 %
2026/04/28 19:25:40.326, NVIDIA L4, 23034 MiB, 20226 MiB, 2338 MiB, 100 %, 100 %
2026/04/28 19:25:41.328, NVIDIA L4, 23034 MiB, 20226 MiB, 2338 MiB, 100 %, 100 %
2026/04/28 19:25:42.329, NVIDIA L4, 23034 MiB, 20226 MiB, 2338 MiB, 100 %, 100 %
2026/04/28 19:25:43.330, NVIDIA L4, 23034 MiB, 20226 MiB, 2338 MiB, 100 %, 100 %
2026/04/28 19:25:44.331, NVIDIA L4, 23034 MiB, 20226 MiB, 2338 MiB, 100 %, 100 %
2026/04/28 19:25:45.332, NVIDIA L4, 23034 MiB, 20226 MiB, 2338 MiB, 100 %, 100 %
2026/04/28 19:25:46.333, NVIDIA L4, 23034 MiB, 20226 MiB, 2338 MiB, 100 %, 100 %
2026/04/28 19:25:47.335, NVIDIA L4, 23034 MiB, 20226 MiB, 2338 MiB, 100 %, 100 %
2026/04/28 19:25:48.335, NVIDIA L4, 23034 MiB, 20226 MiB, 2338 MiB, 100 %, 100 %
2026/04/28 19:25:49.336, NVIDIA L4, 23034 MiB, 20226 MiB, 2338 MiB, 100 %, 100 %
2026/04/28 19:25:50.338, NVIDIA L4, 23034 MiB, 20226 MiB, 2338 MiB, 100 %, 100 %
2026/04/28 19:25:51.339, NVIDIA L4, 23034 MiB, 20226 MiB, 2338 MiB, 100 %, 100 %
2026/04/28 19:25:52.340, NVIDIA L4, 23034 MiB, 20226 MiB, 2338 MiB, 100 %, 100 %
2026/04/28 19:25:53.342, NVIDIA L4, 23034 MiB, 20226 MiB, 2338 MiB, 100 %, 100 %
2026/04/28 19:25:54.343, NVIDIA L4, 23034 MiB, 20226 MiB, 2338 MiB, 100 %, 100 %
2026/04/28 19:25:55.344, NVIDIA L4, 23034 MiB, 20226 MiB, 2338 MiB, 100 %, 100 %
2026/04/28 19:25:56.346, NVIDIA L4, 23034 MiB, 20226 MiB, 2338 MiB, 100 %, 100 %
2026/04/28 19:25:57.347, NVIDIA L4, 23034 MiB, 20226 MiB, 2338 MiB, 100 %, 100 %
2026/04/28 19:25:58.348, NVIDIA L4, 23034 MiB, 20226 MiB, 2338 MiB, 100 %, 100 %
2026/04/28 19:25:59.350, NVIDIA L4, 23034 MiB, 20226 MiB, 2338 MiB, 100 %, 100 %
2026/04/28 19:26:00.350, NVIDIA L4, 23034 MiB, 20226 MiB, 2338 MiB, 100 %, 100 %
