timestamp, name, memory.total [MiB], memory.used [MiB], memory.free [MiB], utilization.gpu [%], utilization.memory [%]
2026/04/26 20:35:37.482, NVIDIA L4, 23034 MiB, 18998 MiB, 3566 MiB, 0 %, 0 %
2026/04/26 20:35:38.493, NVIDIA L4, 23034 MiB, 18998 MiB, 3566 MiB, 100 %, 100 %
2026/04/26 20:35:39.493, NVIDIA L4, 23034 MiB, 18998 MiB, 3566 MiB, 100 %, 100 %
2026/04/26 20:35:40.495, NVIDIA L4, 23034 MiB, 18998 MiB, 3566 MiB, 97 %, 100 %
2026/04/26 20:35:41.496, NVIDIA L4, 23034 MiB, 18998 MiB, 3566 MiB, 100 %, 100 %
2026/04/26 20:35:42.497, NVIDIA L4, 23034 MiB, 18998 MiB, 3566 MiB, 100 %, 100 %
2026/04/26 20:35:43.499, NVIDIA L4, 23034 MiB, 18998 MiB, 3566 MiB, 100 %, 100 %
2026/04/26 20:35:44.500, NVIDIA L4, 23034 MiB, 18998 MiB, 3566 MiB, 100 %, 100 %
2026/04/26 20:35:45.501, NVIDIA L4, 23034 MiB, 18998 MiB, 3566 MiB, 97 %, 100 %
2026/04/26 20:35:46.502, NVIDIA L4, 23034 MiB, 18998 MiB, 3566 MiB, 100 %, 100 %
2026/04/26 20:35:47.503, NVIDIA L4, 23034 MiB, 18998 MiB, 3566 MiB, 100 %, 100 %
2026/04/26 20:35:48.503, NVIDIA L4, 23034 MiB, 18998 MiB, 3566 MiB, 100 %, 100 %
2026/04/26 20:35:49.503, NVIDIA L4, 23034 MiB, 18998 MiB, 3566 MiB, 100 %, 100 %
2026/04/26 20:35:50.505, NVIDIA L4, 23034 MiB, 19000 MiB, 3564 MiB, 100 %, 100 %
2026/04/26 20:35:51.506, NVIDIA L4, 23034 MiB, 19000 MiB, 3564 MiB, 100 %, 100 %
2026/04/26 20:35:52.507, NVIDIA L4, 23034 MiB, 19000 MiB, 3564 MiB, 100 %, 100 %
2026/04/26 20:35:53.509, NVIDIA L4, 23034 MiB, 19000 MiB, 3564 MiB, 100 %, 100 %
2026/04/26 20:35:54.509, NVIDIA L4, 23034 MiB, 19000 MiB, 3564 MiB, 100 %, 100 %
2026/04/26 20:35:55.510, NVIDIA L4, 23034 MiB, 19000 MiB, 3564 MiB, 100 %, 100 %
2026/04/26 20:35:56.510, NVIDIA L4, 23034 MiB, 19000 MiB, 3564 MiB, 100 %, 100 %
2026/04/26 20:35:57.511, NVIDIA L4, 23034 MiB, 19000 MiB, 3564 MiB, 100 %, 100 %
2026/04/26 20:35:58.512, NVIDIA L4, 23034 MiB, 19000 MiB, 3564 MiB, 100 %, 100 %
2026/04/26 20:35:59.512, NVIDIA L4, 23034 MiB, 19000 MiB, 3564 MiB, 100 %, 100 %
2026/04/26 20:36:00.513, NVIDIA L4, 23034 MiB, 19000 MiB, 3564 MiB, 100 %, 100 %
