timestamp, name, memory.total [MiB], memory.used [MiB], memory.free [MiB], utilization.gpu [%], utilization.memory [%]
2026/04/29 03:17:46.521, NVIDIA L4, 23034 MiB, 20280 MiB, 2284 MiB, 56 %, 67 %
2026/04/29 03:17:47.532, NVIDIA L4, 23034 MiB, 20280 MiB, 2284 MiB, 100 %, 100 %
2026/04/29 03:17:48.533, NVIDIA L4, 23034 MiB, 20294 MiB, 2270 MiB, 100 %, 73 %
2026/04/29 03:17:49.534, NVIDIA L4, 23034 MiB, 20294 MiB, 2270 MiB, 100 %, 100 %
2026/04/29 03:17:50.535, NVIDIA L4, 23034 MiB, 20294 MiB, 2270 MiB, 100 %, 100 %
2026/04/29 03:17:51.536, NVIDIA L4, 23034 MiB, 20294 MiB, 2270 MiB, 100 %, 100 %
2026/04/29 03:17:52.537, NVIDIA L4, 23034 MiB, 20294 MiB, 2270 MiB, 100 %, 100 %
2026/04/29 03:17:53.538, NVIDIA L4, 23034 MiB, 20294 MiB, 2270 MiB, 100 %, 100 %
2026/04/29 03:17:54.539, NVIDIA L4, 23034 MiB, 20294 MiB, 2270 MiB, 100 %, 100 %
2026/04/29 03:17:55.541, NVIDIA L4, 23034 MiB, 20294 MiB, 2270 MiB, 100 %, 100 %
2026/04/29 03:17:56.542, NVIDIA L4, 23034 MiB, 20294 MiB, 2270 MiB, 100 %, 100 %
2026/04/29 03:17:57.543, NVIDIA L4, 23034 MiB, 20294 MiB, 2270 MiB, 100 %, 100 %
2026/04/29 03:17:58.545, NVIDIA L4, 23034 MiB, 20294 MiB, 2270 MiB, 100 %, 73 %
2026/04/29 03:17:59.546, NVIDIA L4, 23034 MiB, 20294 MiB, 2270 MiB, 100 %, 79 %
2026/04/29 03:18:00.547, NVIDIA L4, 23034 MiB, 20294 MiB, 2270 MiB, 100 %, 100 %
2026/04/29 03:18:01.548, NVIDIA L4, 23034 MiB, 20294 MiB, 2270 MiB, 100 %, 100 %
2026/04/29 03:18:02.550, NVIDIA L4, 23034 MiB, 20294 MiB, 2270 MiB, 100 %, 100 %
2026/04/29 03:18:03.551, NVIDIA L4, 23034 MiB, 20294 MiB, 2270 MiB, 100 %, 100 %
2026/04/29 03:18:04.551, NVIDIA L4, 23034 MiB, 20294 MiB, 2270 MiB, 100 %, 100 %
2026/04/29 03:18:05.552, NVIDIA L4, 23034 MiB, 20294 MiB, 2270 MiB, 100 %, 100 %
2026/04/29 03:18:06.554, NVIDIA L4, 23034 MiB, 20294 MiB, 2270 MiB, 100 %, 100 %
2026/04/29 03:18:07.555, NVIDIA L4, 23034 MiB, 20294 MiB, 2270 MiB, 100 %, 92 %
2026/04/29 03:18:08.556, NVIDIA L4, 23034 MiB, 20294 MiB, 2270 MiB, 100 %, 100 %
2026/04/29 03:18:09.558, NVIDIA L4, 23034 MiB, 20294 MiB, 2270 MiB, 100 %, 96 %
2026/04/29 03:18:10.559, NVIDIA L4, 23034 MiB, 20294 MiB, 2270 MiB, 100 %, 100 %
2026/04/29 03:18:11.560, NVIDIA L4, 23034 MiB, 20294 MiB, 2270 MiB, 100 %, 95 %
2026/04/29 03:18:12.561, NVIDIA L4, 23034 MiB, 20294 MiB, 2270 MiB, 100 %, 100 %
2026/04/29 03:18:13.563, NVIDIA L4, 23034 MiB, 20294 MiB, 2270 MiB, 100 %, 100 %
2026/04/29 03:18:14.564, NVIDIA L4, 23034 MiB, 20294 MiB, 2270 MiB, 100 %, 100 %
2026/04/29 03:18:15.565, NVIDIA L4, 23034 MiB, 20294 MiB, 2270 MiB, 100 %, 100 %
2026/04/29 03:18:16.566, NVIDIA L4, 23034 MiB, 20294 MiB, 2270 MiB, 100 %, 100 %
2026/04/29 03:18:17.567, NVIDIA L4, 23034 MiB, 20294 MiB, 2270 MiB, 100 %, 100 %
2026/04/29 03:18:18.568, NVIDIA L4, 23034 MiB, 20294 MiB, 2270 MiB, 100 %, 100 %
2026/04/29 03:18:19.570, NVIDIA L4, 23034 MiB, 20294 MiB, 2270 MiB, 100 %, 93 %
2026/04/29 03:18:20.571, NVIDIA L4, 23034 MiB, 20294 MiB, 2270 MiB, 100 %, 86 %
2026/04/29 03:18:21.572, NVIDIA L4, 23034 MiB, 20294 MiB, 2270 MiB, 100 %, 100 %
