timestamp, name, memory.total [MiB], memory.used [MiB], memory.free [MiB], utilization.gpu [%], utilization.memory [%]
2026/04/28 23:38:13.582, NVIDIA L4, 23034 MiB, 20294 MiB, 2270 MiB, 0 %, 0 %
2026/04/28 23:38:14.586, NVIDIA L4, 23034 MiB, 20426 MiB, 2138 MiB, 100 %, 53 %
2026/04/28 23:38:15.587, NVIDIA L4, 23034 MiB, 20426 MiB, 2138 MiB, 100 %, 100 %
2026/04/28 23:38:16.589, NVIDIA L4, 23034 MiB, 20426 MiB, 2138 MiB, 100 %, 100 %
2026/04/28 23:38:17.590, NVIDIA L4, 23034 MiB, 20426 MiB, 2138 MiB, 100 %, 77 %
2026/04/28 23:38:18.591, NVIDIA L4, 23034 MiB, 20426 MiB, 2138 MiB, 100 %, 99 %
2026/04/28 23:38:19.592, NVIDIA L4, 23034 MiB, 20426 MiB, 2138 MiB, 100 %, 100 %
2026/04/28 23:38:20.592, NVIDIA L4, 23034 MiB, 20426 MiB, 2138 MiB, 100 %, 96 %
2026/04/28 23:38:21.593, NVIDIA L4, 23034 MiB, 20426 MiB, 2138 MiB, 100 %, 84 %
2026/04/28 23:38:22.595, NVIDIA L4, 23034 MiB, 20426 MiB, 2138 MiB, 100 %, 64 %
2026/04/28 23:38:23.596, NVIDIA L4, 23034 MiB, 20426 MiB, 2138 MiB, 100 %, 74 %
2026/04/28 23:38:24.597, NVIDIA L4, 23034 MiB, 20426 MiB, 2138 MiB, 100 %, 69 %
2026/04/28 23:38:25.599, NVIDIA L4, 23034 MiB, 20426 MiB, 2138 MiB, 100 %, 96 %
2026/04/28 23:38:26.600, NVIDIA L4, 23034 MiB, 20426 MiB, 2138 MiB, 100 %, 79 %
2026/04/28 23:38:27.601, NVIDIA L4, 23034 MiB, 20426 MiB, 2138 MiB, 100 %, 89 %
2026/04/28 23:38:28.602, NVIDIA L4, 23034 MiB, 20426 MiB, 2138 MiB, 100 %, 78 %
2026/04/28 23:38:29.604, NVIDIA L4, 23034 MiB, 20426 MiB, 2138 MiB, 100 %, 88 %
2026/04/28 23:38:30.605, NVIDIA L4, 23034 MiB, 20426 MiB, 2138 MiB, 100 %, 68 %
2026/04/28 23:38:31.606, NVIDIA L4, 23034 MiB, 20426 MiB, 2138 MiB, 100 %, 93 %
2026/04/28 23:38:32.608, NVIDIA L4, 23034 MiB, 20426 MiB, 2138 MiB, 100 %, 89 %
2026/04/28 23:38:33.609, NVIDIA L4, 23034 MiB, 20426 MiB, 2138 MiB, 100 %, 94 %
2026/04/28 23:38:34.609, NVIDIA L4, 23034 MiB, 20426 MiB, 2138 MiB, 100 %, 60 %
2026/04/28 23:38:35.610, NVIDIA L4, 23034 MiB, 20426 MiB, 2138 MiB, 100 %, 100 %
2026/04/28 23:38:36.611, NVIDIA L4, 23034 MiB, 20426 MiB, 2138 MiB, 100 %, 100 %
2026/04/28 23:38:37.611, NVIDIA L4, 23034 MiB, 20426 MiB, 2138 MiB, 100 %, 86 %
2026/04/28 23:38:38.613, NVIDIA L4, 23034 MiB, 20426 MiB, 2138 MiB, 100 %, 100 %
2026/04/28 23:38:39.613, NVIDIA L4, 23034 MiB, 20426 MiB, 2138 MiB, 100 %, 67 %
2026/04/28 23:38:40.614, NVIDIA L4, 23034 MiB, 20426 MiB, 2138 MiB, 100 %, 74 %
2026/04/28 23:38:41.616, NVIDIA L4, 23034 MiB, 20426 MiB, 2138 MiB, 100 %, 99 %
2026/04/28 23:38:42.617, NVIDIA L4, 23034 MiB, 20426 MiB, 2138 MiB, 100 %, 82 %
2026/04/28 23:38:43.618, NVIDIA L4, 23034 MiB, 20426 MiB, 2138 MiB, 100 %, 89 %
2026/04/28 23:38:44.620, NVIDIA L4, 23034 MiB, 20426 MiB, 2138 MiB, 100 %, 88 %
2026/04/28 23:38:45.621, NVIDIA L4, 23034 MiB, 20426 MiB, 2138 MiB, 100 %, 94 %
2026/04/28 23:38:46.622, NVIDIA L4, 23034 MiB, 20426 MiB, 2138 MiB, 100 %, 62 %
2026/04/28 23:38:47.623, NVIDIA L4, 23034 MiB, 20426 MiB, 2138 MiB, 100 %, 81 %
2026/04/28 23:38:48.625, NVIDIA L4, 23034 MiB, 20426 MiB, 2138 MiB, 100 %, 70 %
2026/04/28 23:38:49.625, NVIDIA L4, 23034 MiB, 20426 MiB, 2138 MiB, 100 %, 88 %
2026/04/28 23:38:50.626, NVIDIA L4, 23034 MiB, 20426 MiB, 2138 MiB, 100 %, 100 %
2026/04/28 23:38:51.628, NVIDIA L4, 23034 MiB, 20426 MiB, 2138 MiB, 100 %, 87 %
2026/04/28 23:38:52.629, NVIDIA L4, 23034 MiB, 20426 MiB, 2138 MiB, 100 %, 88 %
2026/04/28 23:38:53.630, NVIDIA L4, 23034 MiB, 20426 MiB, 2138 MiB, 100 %, 78 %
2026/04/28 23:38:54.632, NVIDIA L4, 23034 MiB, 20426 MiB, 2138 MiB, 100 %, 91 %
2026/04/28 23:38:55.633, NVIDIA L4, 23034 MiB, 20426 MiB, 2138 MiB, 100 %, 80 %
2026/04/28 23:38:56.634, NVIDIA L4, 23034 MiB, 20426 MiB, 2138 MiB, 100 %, 100 %
2026/04/28 23:38:57.636, NVIDIA L4, 23034 MiB, 20426 MiB, 2138 MiB, 100 %, 71 %
2026/04/28 23:38:58.637, NVIDIA L4, 23034 MiB, 20426 MiB, 2138 MiB, 100 %, 100 %
2026/04/28 23:38:59.638, NVIDIA L4, 23034 MiB, 20426 MiB, 2138 MiB, 100 %, 69 %
2026/04/28 23:39:00.640, NVIDIA L4, 23034 MiB, 20426 MiB, 2138 MiB, 100 %, 92 %
2026/04/28 23:39:01.641, NVIDIA L4, 23034 MiB, 20426 MiB, 2138 MiB, 100 %, 84 %
2026/04/28 23:39:02.642, NVIDIA L4, 23034 MiB, 20426 MiB, 2138 MiB, 100 %, 64 %
2026/04/28 23:39:03.643, NVIDIA L4, 23034 MiB, 20426 MiB, 2138 MiB, 100 %, 58 %
2026/04/28 23:39:04.644, NVIDIA L4, 23034 MiB, 20426 MiB, 2138 MiB, 100 %, 100 %
2026/04/28 23:39:05.645, NVIDIA L4, 23034 MiB, 20426 MiB, 2138 MiB, 100 %, 96 %
2026/04/28 23:39:06.647, NVIDIA L4, 23034 MiB, 20426 MiB, 2138 MiB, 100 %, 100 %
2026/04/28 23:39:07.648, NVIDIA L4, 23034 MiB, 20426 MiB, 2138 MiB, 100 %, 98 %
2026/04/28 23:39:08.649, NVIDIA L4, 23034 MiB, 20426 MiB, 2138 MiB, 100 %, 100 %
2026/04/28 23:39:09.650, NVIDIA L4, 23034 MiB, 20426 MiB, 2138 MiB, 100 %, 100 %
2026/04/28 23:39:10.651, NVIDIA L4, 23034 MiB, 20426 MiB, 2138 MiB, 100 %, 98 %
2026/04/28 23:39:11.652, NVIDIA L4, 23034 MiB, 20426 MiB, 2138 MiB, 100 %, 75 %
2026/04/28 23:39:12.653, NVIDIA L4, 23034 MiB, 20426 MiB, 2138 MiB, 100 %, 100 %
2026/04/28 23:39:13.655, NVIDIA L4, 23034 MiB, 20426 MiB, 2138 MiB, 100 %, 86 %
2026/04/28 23:39:14.656, NVIDIA L4, 23034 MiB, 20426 MiB, 2138 MiB, 100 %, 90 %
2026/04/28 23:39:15.656, NVIDIA L4, 23034 MiB, 20426 MiB, 2138 MiB, 100 %, 100 %
2026/04/28 23:39:16.658, NVIDIA L4, 23034 MiB, 20426 MiB, 2138 MiB, 100 %, 72 %
2026/04/28 23:39:17.659, NVIDIA L4, 23034 MiB, 20426 MiB, 2138 MiB, 100 %, 100 %
