timestamp, name, memory.total [MiB], memory.used [MiB], memory.free [MiB], utilization.gpu [%], utilization.memory [%]
2026/04/28 23:39:18.754, NVIDIA L4, 23034 MiB, 20426 MiB, 2138 MiB, 0 %, 0 %
2026/04/28 23:39:19.758, NVIDIA L4, 23034 MiB, 20524 MiB, 2040 MiB, 100 %, 100 %
2026/04/28 23:39:20.760, NVIDIA L4, 23034 MiB, 20626 MiB, 1938 MiB, 100 %, 63 %
2026/04/28 23:39:21.761, NVIDIA L4, 23034 MiB, 20626 MiB, 1938 MiB, 100 %, 67 %
2026/04/28 23:39:22.762, NVIDIA L4, 23034 MiB, 20626 MiB, 1938 MiB, 100 %, 66 %
2026/04/28 23:39:23.762, NVIDIA L4, 23034 MiB, 20626 MiB, 1938 MiB, 100 %, 61 %
2026/04/28 23:39:24.763, NVIDIA L4, 23034 MiB, 20626 MiB, 1938 MiB, 100 %, 60 %
2026/04/28 23:39:25.764, NVIDIA L4, 23034 MiB, 20626 MiB, 1938 MiB, 100 %, 66 %
2026/04/28 23:39:26.765, NVIDIA L4, 23034 MiB, 20626 MiB, 1938 MiB, 100 %, 61 %
2026/04/28 23:39:27.767, NVIDIA L4, 23034 MiB, 20626 MiB, 1938 MiB, 100 %, 89 %
2026/04/28 23:39:28.768, NVIDIA L4, 23034 MiB, 20626 MiB, 1938 MiB, 100 %, 70 %
2026/04/28 23:39:29.769, NVIDIA L4, 23034 MiB, 20626 MiB, 1938 MiB, 100 %, 61 %
2026/04/28 23:39:30.770, NVIDIA L4, 23034 MiB, 20626 MiB, 1938 MiB, 100 %, 62 %
2026/04/28 23:39:31.772, NVIDIA L4, 23034 MiB, 20626 MiB, 1938 MiB, 100 %, 96 %
2026/04/28 23:39:32.773, NVIDIA L4, 23034 MiB, 20626 MiB, 1938 MiB, 100 %, 98 %
2026/04/28 23:39:33.774, NVIDIA L4, 23034 MiB, 20626 MiB, 1938 MiB, 100 %, 72 %
2026/04/28 23:39:34.776, NVIDIA L4, 23034 MiB, 20626 MiB, 1938 MiB, 100 %, 97 %
2026/04/28 23:39:35.777, NVIDIA L4, 23034 MiB, 20626 MiB, 1938 MiB, 100 %, 61 %
2026/04/28 23:39:36.778, NVIDIA L4, 23034 MiB, 20626 MiB, 1938 MiB, 100 %, 72 %
2026/04/28 23:39:37.780, NVIDIA L4, 23034 MiB, 20626 MiB, 1938 MiB, 100 %, 79 %
2026/04/28 23:39:38.781, NVIDIA L4, 23034 MiB, 20626 MiB, 1938 MiB, 100 %, 62 %
2026/04/28 23:39:39.782, NVIDIA L4, 23034 MiB, 20626 MiB, 1938 MiB, 100 %, 64 %
2026/04/28 23:39:40.783, NVIDIA L4, 23034 MiB, 20626 MiB, 1938 MiB, 100 %, 61 %
2026/04/28 23:39:41.785, NVIDIA L4, 23034 MiB, 20626 MiB, 1938 MiB, 100 %, 73 %
2026/04/28 23:39:42.785, NVIDIA L4, 23034 MiB, 20626 MiB, 1938 MiB, 100 %, 63 %
2026/04/28 23:39:43.786, NVIDIA L4, 23034 MiB, 20626 MiB, 1938 MiB, 100 %, 75 %
2026/04/28 23:39:44.787, NVIDIA L4, 23034 MiB, 20626 MiB, 1938 MiB, 100 %, 63 %
2026/04/28 23:39:45.788, NVIDIA L4, 23034 MiB, 20626 MiB, 1938 MiB, 100 %, 68 %
2026/04/28 23:39:46.788, NVIDIA L4, 23034 MiB, 20626 MiB, 1938 MiB, 100 %, 63 %
2026/04/28 23:39:47.790, NVIDIA L4, 23034 MiB, 20626 MiB, 1938 MiB, 100 %, 63 %
2026/04/28 23:39:48.791, NVIDIA L4, 23034 MiB, 20626 MiB, 1938 MiB, 100 %, 64 %
2026/04/28 23:39:49.792, NVIDIA L4, 23034 MiB, 20626 MiB, 1938 MiB, 100 %, 69 %
2026/04/28 23:39:50.794, NVIDIA L4, 23034 MiB, 20626 MiB, 1938 MiB, 100 %, 61 %
