backend,backend_label,backend_short_label,family,source_ref,source_bench_path,concurrency,model_id,n_requests_measured,warmup_requests,throughput_req_per_s,latency_avg_s,latency_p50_s,latency_p95_s,latency_p99_s,ttft_avg_s,ttft_p50_s,ttft_p95_s,n_valid_predictions,n_invalid_predictions,accuracy_valid_only,accuracy_overall_invalid_as_wrong,measured_window_s,source_nvidia_path,samples,gpu_util_avg_pct,gpu_util_max_pct,mem_util_avg_pct,mem_util_max_pct,mem_used_avg_mib,mem_used_max_mib,mem_total_mib,source_prometheus_path,ttft_mean_s
vllm_bf16_prefixcaching,vLLM bf16 + prefix caching,vLLM + APC,vllm,origin/main,outputs/vllm_bf16_prefixcaching/bench_1000_c1.json,1,mistralai/Mistral-7B-Instruct-v0.3,990,10,3.9692583689578007,0.2518927279573447,0.18129912900622003,0.5134362719836645,0.5165231020073406,0.11664020800590515,,,981,9,0.746177370030581,0.7393939393939394,249.41687035100767,outputs/vllm_bf16_prefixcaching/nvidia_smi/smi_1000_c1.csv,252,98.18253968253968,100.0,99.60317460317461,100.0,21008.0,21008.0,23034.0,outputs/vllm_bf16_prefixcaching/proms/prom_1000_c1.json,0.11664020800590515
vllm_bf16_prefixcaching,vLLM bf16 + prefix caching,vLLM + APC,vllm,origin/main,outputs/vllm_bf16_prefixcaching/bench_1000_c2.json,2,mistralai/Mistral-7B-Instruct-v0.3,990,10,6.3566430025081715,0.31402494813420817,0.24714410898741335,0.5878357509791385,0.6047984969918616,0.14267844712734223,,,981,9,0.746177370030581,0.7393939393939394,155.74258293400635,outputs/vllm_bf16_prefixcaching/nvidia_smi/smi_1000_c2.csv,158,99.18354430379746,100.0,99.05696202531645,100.0,21008.0,21008.0,23034.0,outputs/vllm_bf16_prefixcaching/proms/prom_1000_c2.json,0.14267844712734223
vllm_bf16_prefixcaching,vLLM bf16 + prefix caching,vLLM + APC,vllm,origin/main,outputs/vllm_bf16_prefixcaching/bench_1000_c4.json,4,mistralai/Mistral-7B-Instruct-v0.3,990,10,11.331008886644788,0.3519868338371232,0.2801179260131903,0.6274986159987748,0.6685381870192941,0.15964373421669006,,,981,9,0.745158002038736,0.7383838383838384,87.3708607860026,outputs/vllm_bf16_prefixcaching/nvidia_smi/smi_1000_c4.csv,90,99.02222222222223,100.0,98.83333333333333,100.0,21008.0,21008.0,23034.0,outputs/vllm_bf16_prefixcaching/proms/prom_1000_c4.json,0.15964373421669006
vllm_bf16_prefixcaching,vLLM bf16 + prefix caching,vLLM + APC,vllm,origin/main,outputs/vllm_bf16_prefixcaching/bench_1000_c8.json,8,mistralai/Mistral-7B-Instruct-v0.3,990,10,18.859807351326822,0.4220515975529902,0.3569928580254782,0.7394302429747768,0.8070634010073263,0.17841361194849015,,,981,9,0.745158002038736,0.7383838383838384,52.49258285399992,outputs/vllm_bf16_prefixcaching/nvidia_smi/smi_1000_c8.csv,55,98.12727272727273,100.0,91.32727272727273,100.0,21043.927272727273,21046.0,23034.0,outputs/vllm_bf16_prefixcaching/proms/prom_1000_c8.json,0.17841361194849015
vllm_bf16_prefixcaching,vLLM bf16 + prefix caching,vLLM + APC,vllm,origin/main,outputs/vllm_bf16_prefixcaching/bench_1000_c16.json,16,mistralai/Mistral-7B-Instruct-v0.3,990,10,26.090767153568162,0.608677279561049,0.5334962930064648,1.0383156680036336,1.221856641001068,0.21004326376914978,,,981,9,0.746177370030581,0.7393939393939394,37.94445729299332,outputs/vllm_bf16_prefixcaching/nvidia_smi/smi_1000_c16.csv,41,97.48780487804878,100.0,77.26829268292683,100.0,21092.341463414636,21096.0,23034.0,outputs/vllm_bf16_prefixcaching/proms/prom_1000_c16.json,0.21004326376914978
vllm_int4,vLLM int4,vLLM int4,vllm,origin/main,outputs/vllm_int4/bench_1000_c1.json,1,mistral-7b-int4,990,10,10.852898728836523,0.0921021329383842,0.07049810299997716,0.16555447600001116,0.16828746999999566,0.04266472411155701,,,984,6,0.693089430894309,0.6888888888888889,91.21986897099998,outputs/vllm_int4/nvidia_smi/smi_1000_c1.csv,94,94.08510638297872,100.0,96.44680851063829,100.0,18625.978723404256,18626.0,23034.0,outputs/vllm_int4/proms/prom_1000_c1.json,0.04266472411155701
vllm_int4,vLLM int4,vLLM int4,vllm,origin/main,outputs/vllm_int4/bench_1000_c2.json,2,mistral-7b-int4,990,10,21.499380535101995,0.09261997580404004,0.06771229300005643,0.16663517899996805,0.16813916699999254,0.04195684719085693,,,984,6,0.693089430894309,0.6888888888888889,46.04783837300005,outputs/vllm_int4/nvidia_smi/smi_1000_c2.csv,47,97.12765957446808,100.0,97.97872340425532,100.0,18626.0,18626.0,23034.0,outputs/vllm_int4/proms/prom_1000_c2.json,0.04195684719085693
vllm_int4,vLLM int4,vLLM int4,vllm,origin/main,outputs/vllm_int4/bench_1000_c4.json,4,mistral-7b-int4,990,10,40.00712069364399,0.09948917421010216,0.07131498500001499,0.17253898800004208,0.17503973499998438,0.04330272285143534,,,984,6,0.693089430894309,0.6888888888888889,24.745594854999982,outputs/vllm_int4/nvidia_smi/smi_1000_c4.csv,26,96.07692307692308,100.0,96.15384615384616,100.0,18626.0,18626.0,23034.0,outputs/vllm_int4/proms/prom_1000_c4.json,0.04330272285143534
vllm_int4,vLLM int4,vLLM int4,vllm,origin/main,outputs/vllm_int4/bench_1000_c8.json,8,mistral-7b-int4,990,10,71.99384727491422,0.1099999995101014,0.09044785800000454,0.1865215000000262,0.19457483000002185,0.04511417031288147,,,984,6,0.693089430894309,0.6888888888888889,13.751175099999955,outputs/vllm_int4/nvidia_smi/smi_1000_c8.csv,15,93.2,100.0,93.26666666666667,100.0,18626.0,18626.0,23034.0,outputs/vllm_int4/proms/prom_1000_c8.json,0.04511417031288147
vllm_int4,vLLM int4,vLLM int4,vllm,origin/main,outputs/vllm_int4/bench_1000_c16.json,16,mistral-7b-int4,990,10,112.47178007630667,0.13937588405454562,0.12162635699996827,0.2349571280000191,0.254410087999986,0.04904217133522034,,,984,6,0.693089430894309,0.6888888888888889,8.802207979000002,outputs/vllm_int4/nvidia_smi/smi_1000_c16.csv,10,89.7,100.0,85.2,100.0,18626.0,18626.0,23034.0,outputs/vllm_int4/proms/prom_1000_c16.json,0.04904217133522034
