timestamp, name, memory.total [MiB], memory.used [MiB], memory.free [MiB], utilization.gpu [%], utilization.memory [%]
2026/04/26 20:10:43.152, NVIDIA L4, 23034 MiB, 21046 MiB, 1518 MiB, 0 %, 0 %
2026/04/26 20:10:44.163, NVIDIA L4, 23034 MiB, 21046 MiB, 1518 MiB, 100 %, 100 %
2026/04/26 20:10:45.163, NVIDIA L4, 23034 MiB, 21046 MiB, 1518 MiB, 97 %, 100 %
2026/04/26 20:10:46.163, NVIDIA L4, 23034 MiB, 21096 MiB, 1468 MiB, 100 %, 67 %
2026/04/26 20:10:47.165, NVIDIA L4, 23034 MiB, 21096 MiB, 1468 MiB, 100 %, 69 %
2026/04/26 20:10:48.166, NVIDIA L4, 23034 MiB, 21096 MiB, 1468 MiB, 100 %, 88 %
2026/04/26 20:10:49.168, NVIDIA L4, 23034 MiB, 21096 MiB, 1468 MiB, 100 %, 83 %
2026/04/26 20:10:50.169, NVIDIA L4, 23034 MiB, 21096 MiB, 1468 MiB, 100 %, 67 %
2026/04/26 20:10:51.169, NVIDIA L4, 23034 MiB, 21096 MiB, 1468 MiB, 100 %, 67 %
2026/04/26 20:10:52.171, NVIDIA L4, 23034 MiB, 21096 MiB, 1468 MiB, 100 %, 69 %
2026/04/26 20:10:53.171, NVIDIA L4, 23034 MiB, 21096 MiB, 1468 MiB, 100 %, 75 %
2026/04/26 20:10:54.172, NVIDIA L4, 23034 MiB, 21096 MiB, 1468 MiB, 100 %, 78 %
2026/04/26 20:10:55.174, NVIDIA L4, 23034 MiB, 21096 MiB, 1468 MiB, 100 %, 74 %
2026/04/26 20:10:56.174, NVIDIA L4, 23034 MiB, 21096 MiB, 1468 MiB, 100 %, 67 %
2026/04/26 20:10:57.174, NVIDIA L4, 23034 MiB, 21096 MiB, 1468 MiB, 100 %, 67 %
2026/04/26 20:10:58.176, NVIDIA L4, 23034 MiB, 21096 MiB, 1468 MiB, 100 %, 58 %
2026/04/26 20:10:59.176, NVIDIA L4, 23034 MiB, 21096 MiB, 1468 MiB, 100 %, 73 %
2026/04/26 20:11:00.177, NVIDIA L4, 23034 MiB, 21096 MiB, 1468 MiB, 100 %, 66 %
2026/04/26 20:11:01.179, NVIDIA L4, 23034 MiB, 21096 MiB, 1468 MiB, 100 %, 61 %
2026/04/26 20:11:02.179, NVIDIA L4, 23034 MiB, 21096 MiB, 1468 MiB, 100 %, 75 %
2026/04/26 20:11:03.179, NVIDIA L4, 23034 MiB, 21096 MiB, 1468 MiB, 100 %, 91 %
2026/04/26 20:11:04.180, NVIDIA L4, 23034 MiB, 21096 MiB, 1468 MiB, 100 %, 83 %
2026/04/26 20:11:05.181, NVIDIA L4, 23034 MiB, 21096 MiB, 1468 MiB, 100 %, 79 %
2026/04/26 20:11:06.181, NVIDIA L4, 23034 MiB, 21096 MiB, 1468 MiB, 100 %, 78 %
2026/04/26 20:11:07.181, NVIDIA L4, 23034 MiB, 21096 MiB, 1468 MiB, 100 %, 87 %
2026/04/26 20:11:08.183, NVIDIA L4, 23034 MiB, 21096 MiB, 1468 MiB, 100 %, 79 %
2026/04/26 20:11:09.183, NVIDIA L4, 23034 MiB, 21096 MiB, 1468 MiB, 100 %, 68 %
2026/04/26 20:11:10.183, NVIDIA L4, 23034 MiB, 21096 MiB, 1468 MiB, 100 %, 74 %
2026/04/26 20:11:11.184, NVIDIA L4, 23034 MiB, 21096 MiB, 1468 MiB, 100 %, 89 %
2026/04/26 20:11:12.184, NVIDIA L4, 23034 MiB, 21096 MiB, 1468 MiB, 100 %, 98 %
2026/04/26 20:11:13.185, NVIDIA L4, 23034 MiB, 21096 MiB, 1468 MiB, 100 %, 85 %
2026/04/26 20:11:14.186, NVIDIA L4, 23034 MiB, 21096 MiB, 1468 MiB, 100 %, 69 %
2026/04/26 20:11:15.186, NVIDIA L4, 23034 MiB, 21096 MiB, 1468 MiB, 100 %, 69 %
2026/04/26 20:11:16.186, NVIDIA L4, 23034 MiB, 21096 MiB, 1468 MiB, 100 %, 68 %
2026/04/26 20:11:17.188, NVIDIA L4, 23034 MiB, 21096 MiB, 1468 MiB, 100 %, 83 %
2026/04/26 20:11:18.189, NVIDIA L4, 23034 MiB, 21096 MiB, 1468 MiB, 100 %, 93 %
2026/04/26 20:11:19.189, NVIDIA L4, 23034 MiB, 21096 MiB, 1468 MiB, 100 %, 93 %
2026/04/26 20:11:20.191, NVIDIA L4, 23034 MiB, 21096 MiB, 1468 MiB, 100 %, 100 %
2026/04/26 20:11:21.191, NVIDIA L4, 23034 MiB, 21096 MiB, 1468 MiB, 100 %, 91 %
2026/04/26 20:11:22.198, NVIDIA L4, 23034 MiB, 21096 MiB, 1468 MiB, 100 %, 91 %
2026/04/26 20:11:23.198, NVIDIA L4, 23034 MiB, 21096 MiB, 1468 MiB, 100 %, 96 %
