timestamp, name, memory.total [MiB], memory.used [MiB], memory.free [MiB], utilization.gpu [%], utilization.memory [%]
2026/04/29 00:05:47.011, NVIDIA L4, 23034 MiB, 20348 MiB, 2216 MiB, 0 %, 0 %
2026/04/29 00:05:48.014, NVIDIA L4, 23034 MiB, 20414 MiB, 2150 MiB, 47 %, 54 %
2026/04/29 00:05:49.014, NVIDIA L4, 23034 MiB, 20414 MiB, 2150 MiB, 100 %, 70 %
2026/04/29 00:05:50.016, NVIDIA L4, 23034 MiB, 20414 MiB, 2150 MiB, 100 %, 80 %
2026/04/29 00:05:51.017, NVIDIA L4, 23034 MiB, 20414 MiB, 2150 MiB, 100 %, 79 %
2026/04/29 00:05:52.018, NVIDIA L4, 23034 MiB, 20414 MiB, 2150 MiB, 100 %, 89 %
2026/04/29 00:05:53.020, NVIDIA L4, 23034 MiB, 20414 MiB, 2150 MiB, 100 %, 73 %
2026/04/29 00:05:54.021, NVIDIA L4, 23034 MiB, 20414 MiB, 2150 MiB, 100 %, 68 %
2026/04/29 00:05:55.022, NVIDIA L4, 23034 MiB, 20414 MiB, 2150 MiB, 100 %, 76 %
2026/04/29 00:05:56.023, NVIDIA L4, 23034 MiB, 20414 MiB, 2150 MiB, 100 %, 65 %
2026/04/29 00:05:57.025, NVIDIA L4, 23034 MiB, 20414 MiB, 2150 MiB, 100 %, 86 %
2026/04/29 00:05:58.025, NVIDIA L4, 23034 MiB, 20414 MiB, 2150 MiB, 100 %, 96 %
2026/04/29 00:05:59.026, NVIDIA L4, 23034 MiB, 20414 MiB, 2150 MiB, 100 %, 100 %
2026/04/29 00:06:00.028, NVIDIA L4, 23034 MiB, 20414 MiB, 2150 MiB, 100 %, 80 %
2026/04/29 00:06:01.029, NVIDIA L4, 23034 MiB, 20414 MiB, 2150 MiB, 100 %, 86 %
2026/04/29 00:06:02.031, NVIDIA L4, 23034 MiB, 20414 MiB, 2150 MiB, 100 %, 72 %
2026/04/29 00:06:03.032, NVIDIA L4, 23034 MiB, 20414 MiB, 2150 MiB, 100 %, 76 %
2026/04/29 00:06:04.033, NVIDIA L4, 23034 MiB, 20414 MiB, 2150 MiB, 100 %, 72 %
2026/04/29 00:06:05.035, NVIDIA L4, 23034 MiB, 20414 MiB, 2150 MiB, 100 %, 79 %
2026/04/29 00:06:06.036, NVIDIA L4, 23034 MiB, 20414 MiB, 2150 MiB, 100 %, 70 %
2026/04/29 00:06:07.037, NVIDIA L4, 23034 MiB, 20414 MiB, 2150 MiB, 100 %, 62 %
2026/04/29 00:06:08.038, NVIDIA L4, 23034 MiB, 20414 MiB, 2150 MiB, 100 %, 62 %
2026/04/29 00:06:09.040, NVIDIA L4, 23034 MiB, 20414 MiB, 2150 MiB, 100 %, 100 %
2026/04/29 00:06:10.041, NVIDIA L4, 23034 MiB, 20414 MiB, 2150 MiB, 100 %, 100 %
2026/04/29 00:06:11.042, NVIDIA L4, 23034 MiB, 20414 MiB, 2150 MiB, 100 %, 80 %
2026/04/29 00:06:12.043, NVIDIA L4, 23034 MiB, 20414 MiB, 2150 MiB, 100 %, 94 %
2026/04/29 00:06:13.044, NVIDIA L4, 23034 MiB, 20414 MiB, 2150 MiB, 100 %, 72 %
2026/04/29 00:06:14.045, NVIDIA L4, 23034 MiB, 20414 MiB, 2150 MiB, 100 %, 74 %
2026/04/29 00:06:15.047, NVIDIA L4, 23034 MiB, 20414 MiB, 2150 MiB, 100 %, 97 %
2026/04/29 00:06:16.048, NVIDIA L4, 23034 MiB, 20414 MiB, 2150 MiB, 100 %, 61 %
2026/04/29 00:06:17.049, NVIDIA L4, 23034 MiB, 20414 MiB, 2150 MiB, 100 %, 86 %
2026/04/29 00:06:18.051, NVIDIA L4, 23034 MiB, 20414 MiB, 2150 MiB, 100 %, 91 %
2026/04/29 00:06:19.052, NVIDIA L4, 23034 MiB, 20414 MiB, 2150 MiB, 100 %, 97 %
2026/04/29 00:06:20.053, NVIDIA L4, 23034 MiB, 20414 MiB, 2150 MiB, 100 %, 100 %
2026/04/29 00:06:21.054, NVIDIA L4, 23034 MiB, 20414 MiB, 2150 MiB, 100 %, 92 %
2026/04/29 00:06:22.056, NVIDIA L4, 23034 MiB, 20414 MiB, 2150 MiB, 100 %, 100 %
2026/04/29 00:06:23.057, NVIDIA L4, 23034 MiB, 20414 MiB, 2150 MiB, 100 %, 91 %
2026/04/29 00:06:24.058, NVIDIA L4, 23034 MiB, 20414 MiB, 2150 MiB, 100 %, 91 %
