timestamp, name, memory.total [MiB], memory.used [MiB], memory.free [MiB], utilization.gpu [%], utilization.memory [%]
2026/04/29 02:30:52.764, NVIDIA L4, 23034 MiB, 20280 MiB, 2284 MiB, 0 %, 0 %
2026/04/29 02:30:53.768, NVIDIA L4, 23034 MiB, 20330 MiB, 2234 MiB, 100 %, 97 %
2026/04/29 02:30:54.769, NVIDIA L4, 23034 MiB, 20330 MiB, 2234 MiB, 100 %, 94 %
2026/04/29 02:30:55.769, NVIDIA L4, 23034 MiB, 20330 MiB, 2234 MiB, 100 %, 100 %
2026/04/29 02:30:56.771, NVIDIA L4, 23034 MiB, 20330 MiB, 2234 MiB, 100 %, 100 %
2026/04/29 02:30:57.771, NVIDIA L4, 23034 MiB, 20330 MiB, 2234 MiB, 100 %, 85 %
2026/04/29 02:30:58.772, NVIDIA L4, 23034 MiB, 20330 MiB, 2234 MiB, 100 %, 100 %
2026/04/29 02:30:59.774, NVIDIA L4, 23034 MiB, 20330 MiB, 2234 MiB, 100 %, 98 %
2026/04/29 02:31:00.775, NVIDIA L4, 23034 MiB, 20330 MiB, 2234 MiB, 100 %, 100 %
2026/04/29 02:31:01.776, NVIDIA L4, 23034 MiB, 20330 MiB, 2234 MiB, 100 %, 100 %
2026/04/29 02:31:02.777, NVIDIA L4, 23034 MiB, 20330 MiB, 2234 MiB, 100 %, 100 %
2026/04/29 02:31:03.779, NVIDIA L4, 23034 MiB, 20330 MiB, 2234 MiB, 100 %, 100 %
2026/04/29 02:31:04.779, NVIDIA L4, 23034 MiB, 20330 MiB, 2234 MiB, 100 %, 100 %
2026/04/29 02:31:05.780, NVIDIA L4, 23034 MiB, 20330 MiB, 2234 MiB, 100 %, 100 %
2026/04/29 02:31:06.782, NVIDIA L4, 23034 MiB, 20330 MiB, 2234 MiB, 100 %, 100 %
2026/04/29 02:31:07.783, NVIDIA L4, 23034 MiB, 20330 MiB, 2234 MiB, 100 %, 93 %
2026/04/29 02:31:08.784, NVIDIA L4, 23034 MiB, 20330 MiB, 2234 MiB, 100 %, 89 %
2026/04/29 02:31:09.785, NVIDIA L4, 23034 MiB, 20330 MiB, 2234 MiB, 100 %, 100 %
2026/04/29 02:31:10.786, NVIDIA L4, 23034 MiB, 20330 MiB, 2234 MiB, 100 %, 87 %
2026/04/29 02:31:11.787, NVIDIA L4, 23034 MiB, 20330 MiB, 2234 MiB, 100 %, 95 %
