timestamp, name, memory.total [MiB], memory.used [MiB], memory.free [MiB], utilization.gpu [%], utilization.memory [%]
2026/04/28 23:10:03.930, NVIDIA L4, 23034 MiB, 14238 MiB, 8326 MiB, 0 %, 0 %
2026/04/28 23:10:04.934, NVIDIA L4, 23034 MiB, 14274 MiB, 8290 MiB, 100 %, 100 %
2026/04/28 23:10:05.935, NVIDIA L4, 23034 MiB, 14274 MiB, 8290 MiB, 88 %, 99 %
2026/04/28 23:10:06.937, NVIDIA L4, 23034 MiB, 14278 MiB, 8286 MiB, 100 %, 100 %
2026/04/28 23:10:07.938, NVIDIA L4, 23034 MiB, 14278 MiB, 8286 MiB, 88 %, 100 %
2026/04/28 23:10:08.939, NVIDIA L4, 23034 MiB, 14278 MiB, 8286 MiB, 91 %, 99 %
2026/04/28 23:10:09.940, NVIDIA L4, 23034 MiB, 14278 MiB, 8286 MiB, 98 %, 100 %
2026/04/28 23:10:10.940, NVIDIA L4, 23034 MiB, 14278 MiB, 8286 MiB, 83 %, 93 %
2026/04/28 23:10:11.942, NVIDIA L4, 23034 MiB, 14278 MiB, 8286 MiB, 90 %, 100 %
2026/04/28 23:10:12.943, NVIDIA L4, 23034 MiB, 14280 MiB, 8284 MiB, 84 %, 96 %
2026/04/28 23:10:13.944, NVIDIA L4, 23034 MiB, 14280 MiB, 8284 MiB, 100 %, 100 %
2026/04/28 23:10:14.946, NVIDIA L4, 23034 MiB, 14280 MiB, 8284 MiB, 75 %, 85 %
2026/04/28 23:10:15.947, NVIDIA L4, 23034 MiB, 14280 MiB, 8284 MiB, 92 %, 100 %
2026/04/28 23:10:16.947, NVIDIA L4, 23034 MiB, 14280 MiB, 8284 MiB, 97 %, 100 %
2026/04/28 23:10:17.949, NVIDIA L4, 23034 MiB, 14280 MiB, 8284 MiB, 93 %, 100 %
2026/04/28 23:10:18.950, NVIDIA L4, 23034 MiB, 14280 MiB, 8284 MiB, 88 %, 100 %
2026/04/28 23:10:19.951, NVIDIA L4, 23034 MiB, 14280 MiB, 8284 MiB, 92 %, 100 %
2026/04/28 23:10:20.953, NVIDIA L4, 23034 MiB, 14280 MiB, 8284 MiB, 89 %, 99 %
2026/04/28 23:10:21.953, NVIDIA L4, 23034 MiB, 14280 MiB, 8284 MiB, 91 %, 100 %
2026/04/28 23:10:22.954, NVIDIA L4, 23034 MiB, 14280 MiB, 8284 MiB, 92 %, 100 %
2026/04/28 23:10:23.956, NVIDIA L4, 23034 MiB, 14280 MiB, 8284 MiB, 95 %, 100 %
2026/04/28 23:10:24.957, NVIDIA L4, 23034 MiB, 14280 MiB, 8284 MiB, 81 %, 92 %
2026/04/28 23:10:25.958, NVIDIA L4, 23034 MiB, 14280 MiB, 8284 MiB, 91 %, 100 %
2026/04/28 23:10:26.960, NVIDIA L4, 23034 MiB, 14280 MiB, 8284 MiB, 91 %, 100 %
2026/04/28 23:10:27.961, NVIDIA L4, 23034 MiB, 14280 MiB, 8284 MiB, 90 %, 100 %
2026/04/28 23:10:28.962, NVIDIA L4, 23034 MiB, 14280 MiB, 8284 MiB, 94 %, 96 %
2026/04/28 23:10:29.964, NVIDIA L4, 23034 MiB, 14280 MiB, 8284 MiB, 92 %, 100 %
2026/04/28 23:10:30.964, NVIDIA L4, 23034 MiB, 14280 MiB, 8284 MiB, 82 %, 94 %
2026/04/28 23:10:31.965, NVIDIA L4, 23034 MiB, 14280 MiB, 8284 MiB, 90 %, 100 %
2026/04/28 23:10:32.967, NVIDIA L4, 23034 MiB, 14280 MiB, 8284 MiB, 95 %, 100 %
2026/04/28 23:10:33.968, NVIDIA L4, 23034 MiB, 14280 MiB, 8284 MiB, 96 %, 100 %
2026/04/28 23:10:34.970, NVIDIA L4, 23034 MiB, 14280 MiB, 8284 MiB, 84 %, 95 %
2026/04/28 23:10:35.971, NVIDIA L4, 23034 MiB, 14280 MiB, 8284 MiB, 93 %, 100 %
2026/04/28 23:10:36.972, NVIDIA L4, 23034 MiB, 14280 MiB, 8284 MiB, 100 %, 100 %
2026/04/28 23:10:37.974, NVIDIA L4, 23034 MiB, 14280 MiB, 8284 MiB, 91 %, 100 %
2026/04/28 23:10:38.975, NVIDIA L4, 23034 MiB, 14280 MiB, 8284 MiB, 86 %, 95 %
2026/04/28 23:10:39.976, NVIDIA L4, 23034 MiB, 14280 MiB, 8284 MiB, 99 %, 100 %
2026/04/28 23:10:40.978, NVIDIA L4, 23034 MiB, 14280 MiB, 8284 MiB, 86 %, 96 %
2026/04/28 23:10:41.979, NVIDIA L4, 23034 MiB, 14280 MiB, 8284 MiB, 96 %, 100 %
2026/04/28 23:10:42.979, NVIDIA L4, 23034 MiB, 14280 MiB, 8284 MiB, 83 %, 93 %
2026/04/28 23:10:43.981, NVIDIA L4, 23034 MiB, 14280 MiB, 8284 MiB, 95 %, 100 %
2026/04/28 23:10:44.982, NVIDIA L4, 23034 MiB, 14280 MiB, 8284 MiB, 96 %, 100 %
2026/04/28 23:10:45.983, NVIDIA L4, 23034 MiB, 14280 MiB, 8284 MiB, 79 %, 87 %
2026/04/28 23:10:46.985, NVIDIA L4, 23034 MiB, 14280 MiB, 8284 MiB, 98 %, 100 %
2026/04/28 23:10:47.986, NVIDIA L4, 23034 MiB, 14280 MiB, 8284 MiB, 93 %, 100 %
2026/04/28 23:10:48.987, NVIDIA L4, 23034 MiB, 14280 MiB, 8284 MiB, 100 %, 100 %
2026/04/28 23:10:49.989, NVIDIA L4, 23034 MiB, 14280 MiB, 8284 MiB, 86 %, 95 %
2026/04/28 23:10:50.990, NVIDIA L4, 23034 MiB, 14280 MiB, 8284 MiB, 93 %, 100 %
2026/04/28 23:10:51.992, NVIDIA L4, 23034 MiB, 14280 MiB, 8284 MiB, 85 %, 96 %
2026/04/28 23:10:52.993, NVIDIA L4, 23034 MiB, 14280 MiB, 8284 MiB, 100 %, 100 %
2026/04/28 23:10:53.993, NVIDIA L4, 23034 MiB, 14280 MiB, 8284 MiB, 85 %, 96 %
2026/04/28 23:10:54.995, NVIDIA L4, 23034 MiB, 14280 MiB, 8284 MiB, 93 %, 100 %
2026/04/28 23:10:55.996, NVIDIA L4, 23034 MiB, 14280 MiB, 8284 MiB, 80 %, 91 %
2026/04/28 23:10:56.997, NVIDIA L4, 23034 MiB, 14280 MiB, 8284 MiB, 98 %, 100 %
2026/04/28 23:10:57.999, NVIDIA L4, 23034 MiB, 14280 MiB, 8284 MiB, 90 %, 98 %
2026/04/28 23:10:59.000, NVIDIA L4, 23034 MiB, 14280 MiB, 8284 MiB, 92 %, 100 %
2026/04/28 23:11:00.000, NVIDIA L4, 23034 MiB, 14280 MiB, 8284 MiB, 86 %, 97 %
2026/04/28 23:11:01.002, NVIDIA L4, 23034 MiB, 14280 MiB, 8284 MiB, 94 %, 100 %
2026/04/28 23:11:02.003, NVIDIA L4, 23034 MiB, 14280 MiB, 8284 MiB, 85 %, 96 %
2026/04/28 23:11:03.003, NVIDIA L4, 23034 MiB, 14280 MiB, 8284 MiB, 91 %, 100 %
