timestamp, name, memory.total [MiB], memory.used [MiB], memory.free [MiB], utilization.gpu [%], utilization.memory [%]
2026/04/28 23:19:34.706, NVIDIA L4, 23034 MiB, 14482 MiB, 8082 MiB, 0 %, 0 %
2026/04/28 23:19:35.709, NVIDIA L4, 23034 MiB, 14668 MiB, 7896 MiB, 85 %, 91 %
2026/04/28 23:19:36.711, NVIDIA L4, 23034 MiB, 14772 MiB, 7792 MiB, 65 %, 74 %
2026/04/28 23:19:37.711, NVIDIA L4, 23034 MiB, 14772 MiB, 7792 MiB, 65 %, 75 %
2026/04/28 23:19:38.712, NVIDIA L4, 23034 MiB, 14772 MiB, 7792 MiB, 98 %, 100 %
2026/04/28 23:19:39.713, NVIDIA L4, 23034 MiB, 14772 MiB, 7792 MiB, 88 %, 94 %
2026/04/28 23:19:40.713, NVIDIA L4, 23034 MiB, 14772 MiB, 7792 MiB, 42 %, 46 %
2026/04/28 23:19:41.714, NVIDIA L4, 23034 MiB, 14772 MiB, 7792 MiB, 63 %, 72 %
2026/04/28 23:19:42.715, NVIDIA L4, 23034 MiB, 14772 MiB, 7792 MiB, 77 %, 87 %
2026/04/28 23:19:43.716, NVIDIA L4, 23034 MiB, 14772 MiB, 7792 MiB, 54 %, 60 %
2026/04/28 23:19:44.717, NVIDIA L4, 23034 MiB, 14772 MiB, 7792 MiB, 64 %, 73 %
2026/04/28 23:19:45.719, NVIDIA L4, 23034 MiB, 14772 MiB, 7792 MiB, 72 %, 81 %
2026/04/28 23:19:46.719, NVIDIA L4, 23034 MiB, 14772 MiB, 7792 MiB, 60 %, 67 %
2026/04/28 23:19:47.720, NVIDIA L4, 23034 MiB, 14772 MiB, 7792 MiB, 66 %, 77 %
2026/04/28 23:19:48.722, NVIDIA L4, 23034 MiB, 14772 MiB, 7792 MiB, 74 %, 83 %
2026/04/28 23:19:49.723, NVIDIA L4, 23034 MiB, 14772 MiB, 7792 MiB, 68 %, 77 %
2026/04/28 23:19:50.724, NVIDIA L4, 23034 MiB, 14772 MiB, 7792 MiB, 64 %, 73 %
2026/04/28 23:19:51.726, NVIDIA L4, 23034 MiB, 14772 MiB, 7792 MiB, 80 %, 88 %
2026/04/28 23:19:52.727, NVIDIA L4, 23034 MiB, 14772 MiB, 7792 MiB, 83 %, 92 %
2026/04/28 23:19:53.728, NVIDIA L4, 23034 MiB, 14772 MiB, 7792 MiB, 64 %, 74 %
2026/04/28 23:19:54.730, NVIDIA L4, 23034 MiB, 14772 MiB, 7792 MiB, 58 %, 64 %
2026/04/28 23:19:55.731, NVIDIA L4, 23034 MiB, 14772 MiB, 7792 MiB, 75 %, 83 %
2026/04/28 23:19:56.733, NVIDIA L4, 23034 MiB, 14772 MiB, 7792 MiB, 66 %, 75 %
2026/04/28 23:19:57.734, NVIDIA L4, 23034 MiB, 14772 MiB, 7792 MiB, 58 %, 65 %
2026/04/28 23:19:58.735, NVIDIA L4, 23034 MiB, 14772 MiB, 7792 MiB, 76 %, 84 %
2026/04/28 23:19:59.736, NVIDIA L4, 23034 MiB, 14772 MiB, 7792 MiB, 62 %, 71 %
2026/04/28 23:20:00.736, NVIDIA L4, 23034 MiB, 14772 MiB, 7792 MiB, 60 %, 68 %
2026/04/28 23:20:01.737, NVIDIA L4, 23034 MiB, 14772 MiB, 7792 MiB, 66 %, 74 %
2026/04/28 23:20:02.739, NVIDIA L4, 23034 MiB, 14772 MiB, 7792 MiB, 64 %, 73 %
2026/04/28 23:20:03.740, NVIDIA L4, 23034 MiB, 14772 MiB, 7792 MiB, 49 %, 55 %
2026/04/28 23:20:04.741, NVIDIA L4, 23034 MiB, 14772 MiB, 7792 MiB, 73 %, 83 %
2026/04/28 23:20:05.743, NVIDIA L4, 23034 MiB, 14772 MiB, 7792 MiB, 65 %, 74 %
2026/04/28 23:20:06.743, NVIDIA L4, 23034 MiB, 14772 MiB, 7792 MiB, 57 %, 64 %
2026/04/28 23:20:07.744, NVIDIA L4, 23034 MiB, 14772 MiB, 7792 MiB, 69 %, 77 %
2026/04/28 23:20:08.746, NVIDIA L4, 23034 MiB, 14772 MiB, 7792 MiB, 68 %, 78 %
2026/04/28 23:20:09.746, NVIDIA L4, 23034 MiB, 14772 MiB, 7792 MiB, 58 %, 67 %
2026/04/28 23:20:10.747, NVIDIA L4, 23034 MiB, 14772 MiB, 7792 MiB, 74 %, 82 %
2026/04/28 23:20:11.749, NVIDIA L4, 23034 MiB, 14772 MiB, 7792 MiB, 66 %, 74 %
2026/04/28 23:20:12.749, NVIDIA L4, 23034 MiB, 14772 MiB, 7792 MiB, 63 %, 72 %
2026/04/28 23:20:13.749, NVIDIA L4, 23034 MiB, 14772 MiB, 7792 MiB, 80 %, 89 %
2026/04/28 23:20:14.751, NVIDIA L4, 23034 MiB, 14772 MiB, 7792 MiB, 60 %, 68 %
2026/04/28 23:20:15.751, NVIDIA L4, 23034 MiB, 14772 MiB, 7792 MiB, 64 %, 73 %
2026/04/28 23:20:16.752, NVIDIA L4, 23034 MiB, 14772 MiB, 7792 MiB, 77 %, 85 %
2026/04/28 23:20:17.754, NVIDIA L4, 23034 MiB, 14772 MiB, 7792 MiB, 56 %, 63 %
2026/04/28 23:20:18.755, NVIDIA L4, 23034 MiB, 14772 MiB, 7792 MiB, 66 %, 75 %
2026/04/28 23:20:19.756, NVIDIA L4, 23034 MiB, 14772 MiB, 7792 MiB, 67 %, 76 %
2026/04/28 23:20:20.758, NVIDIA L4, 23034 MiB, 14772 MiB, 7792 MiB, 67 %, 75 %
2026/04/28 23:20:21.759, NVIDIA L4, 23034 MiB, 14772 MiB, 7792 MiB, 65 %, 74 %
2026/04/28 23:20:22.760, NVIDIA L4, 23034 MiB, 14772 MiB, 7792 MiB, 61 %, 68 %
2026/04/28 23:20:23.761, NVIDIA L4, 23034 MiB, 14772 MiB, 7792 MiB, 72 %, 81 %
2026/04/28 23:20:24.761, NVIDIA L4, 23034 MiB, 14772 MiB, 7792 MiB, 72 %, 82 %
2026/04/28 23:20:25.763, NVIDIA L4, 23034 MiB, 14772 MiB, 7792 MiB, 62 %, 69 %
2026/04/28 23:20:26.763, NVIDIA L4, 23034 MiB, 14772 MiB, 7792 MiB, 68 %, 77 %
2026/04/28 23:20:27.764, NVIDIA L4, 23034 MiB, 14772 MiB, 7792 MiB, 68 %, 77 %
2026/04/28 23:20:28.766, NVIDIA L4, 23034 MiB, 14772 MiB, 7792 MiB, 57 %, 64 %
2026/04/28 23:20:29.766, NVIDIA L4, 23034 MiB, 14772 MiB, 7792 MiB, 70 %, 78 %
2026/04/28 23:20:30.767, NVIDIA L4, 23034 MiB, 14772 MiB, 7792 MiB, 65 %, 74 %
2026/04/28 23:20:31.769, NVIDIA L4, 23034 MiB, 14772 MiB, 7792 MiB, 63 %, 71 %
